arch,n_workers,threads,files,repeat,clean_s,merge_s,total_s,events,rows_per_s,events_per_s,peak_rss_mb,cpu_pct
mono-1T,0,1,1,1,3.605,0.000,3.605,765711,23966.4,212402.5,79.3,109.8
mono-1T,0,1,1,2,3.514,0.000,3.514,765711,24587.1,217903.0,79.4,113.0
mono-1T,0,1,1,3,3.536,0.000,3.536,765711,24434.1,216547.2,81.1,109.5
mono-MT,0,2,1,1,3.602,0.975,4.577,765711,18876.8,167295.4,190.5,110.4
mono-MT,0,2,1,2,3.677,0.972,4.649,765711,18584.4,164704.5,211.4,110.7
mono-MT,0,2,1,3,3.558,0.925,4.483,765711,19272.6,170803.3,219.2,118.4
mono-MT,0,4,1,1,3.548,0.952,4.500,765711,19199.8,170158.0,195.4,120.5
mono-MT,0,4,1,2,3.538,0.949,4.487,765711,19255.4,170651.0,220.1,120.2
mono-MT,0,4,1,3,3.555,0.953,4.508,765711,19165.7,169856.0,191.1,118.9
mono-MT,0,8,1,1,3.516,1.163,4.678,765711,18469.2,163683.4,203.6,116.4
mono-MT,0,8,1,2,3.582,0.986,4.568,765711,18914.0,167625.0,205.2,119.0
mono-MT,0,8,1,3,3.597,0.993,4.590,765711,18823.3,166821.6,231.2,121.0
parquet,0,1,1,1,1.255,0.000,1.255,765711,68843.8,610128.3,320.1,118.8
parquet,0,1,1,2,1.254,0.000,1.254,765711,68898.7,610614.8,322.8,120.3
parquet,0,1,1,3,1.253,0.000,1.253,765711,68953.7,611102.2,322.1,119.7
