arch,n_workers,threads,files,repeat,clean_s,merge_s,total_s,events,rows_per_s,events_per_s,peak_rss_mb,cpu_pct
mono-1T,0,1,1,1,3.828,0.000,3.828,765711,22570.3,200029.0,79.2,96.4
mono-1T,0,1,1,2,4.444,0.000,4.444,765711,19441.7,172302.2,81.3,95.8
mono-1T,0,1,1,3,3.519,0.000,3.519,765711,24552.1,217593.4,79.3,112.6
mono-MT,0,2,1,1,3.663,0.947,4.610,765711,18741.6,166097.8,185.8,110.4
mono-MT,0,2,1,2,3.626,0.895,4.521,765711,19110.6,169367.6,217.1,121.8
mono-MT,0,2,1,3,3.595,0.960,4.554,765711,18972.1,168140.3,189.0,110.5
mono-MT,0,4,1,1,3.550,0.891,4.441,765711,19454.9,172418.6,225.6,115.7
mono-MT,0,4,1,2,3.544,1.025,4.569,765711,18909.8,167588.3,194.0,109.4
mono-MT,0,4,1,3,3.588,0.974,4.562,765711,18938.8,167845.5,192.9,115.3
mono-MT,0,8,1,1,3.843,0.953,4.795,765711,18018.6,159689.5,206.4,109.3
mono-MT,0,8,1,2,3.854,0.974,4.829,765711,17891.7,158565.1,232.5,117.5
mono-MT,0,8,1,3,3.619,1.000,4.620,765711,18701.1,165738.3,202.6,110.6
parquet,0,1,1,1,1.194,0.000,1.194,765711,72361.0,641299.0,351.1,120.7
parquet,0,1,1,2,1.200,0.000,1.200,765711,71999.2,638092.5,347.4,121.3
parquet,0,1,1,3,1.195,0.000,1.195,765711,72300.4,640762.3,353.9,120.7
