day,backend,wall_s,reported_total_s,events
01,parquet,1.19,1.171,765711
01,duckdb,3.12,3.076,765711
02,parquet,1.39,1.377,998920
02,duckdb,3.95,3.920,998920
03,parquet,1.00,0.989,525602
03,duckdb,2.33,2.296,525602
04,parquet,0.82,0.803,522960
04,duckdb,2.14,2.104,522960
05,parquet,0.66,0.646,89144
05,duckdb,0.89,0.850,89144
06,parquet,1.05,1.030,589297
06,duckdb,2.57,2.529,589297
07,parquet,0.92,0.899,409383
07,duckdb,1.95,1.915,409383
08,parquet,1.49,1.467,1112819
08,duckdb,4.37,4.329,1112819
09,parquet,1.28,1.261,878415
09,duckdb,3.57,3.528,878415
10,parquet,1.51,1.490,1128117
10,duckdb,4.40,4.357,1128117
11,parquet,0.97,0.958,481771
11,duckdb,2.20,2.154,481771
12,parquet,1.12,1.107,710832
12,duckdb,2.96,2.923,710832
13,parquet,1.44,1.419,1066727
13,duckdb,4.18,4.136,1066727
14,parquet,1.24,1.225,787069
14,duckdb,3.28,3.232,787069
15,parquet,1.23,1.216,817702
15,duckdb,3.32,3.306,817702
16,parquet,1.49,1.471,1109468
16,duckdb,4.36,4.310,1109468
17,parquet,1.26,1.244,858651
17,duckdb,3.50,3.469,858651
18,parquet,1.53,1.515,1165818
18,duckdb,4.61,4.573,1165818
19,parquet,0.81,0.798,273912
19,duckdb,1.52,1.472,273912
20,parquet,1.31,1.293,906813
20,duckdb,3.78,3.730,906813
21,parquet,1.38,1.362,984804
21,duckdb,3.96,3.928,984804
22,parquet,1.10,1.084,637812
22,duckdb,2.79,2.736,637812
23,parquet,1.38,1.363,973777
23,duckdb,3.92,3.904,973777
24,parquet,1.04,1.020,559657
24,duckdb,2.50,2.457,559657
25,parquet,1.31,1.294,928838
25,duckdb,3.79,3.740,928838
26,parquet,1.40,1.379,1020234
26,duckdb,4.12,4.075,1020234
27,parquet,1.19,1.176,761625
27,duckdb,3.21,3.162,761625
28,parquet,1.24,1.222,806785
28,duckdb,3.59,3.537,806785
