arch,n_workers,threads,files,repeat,clean_s,merge_s,total_s,events,rows_per_s,events_per_s,peak_rss_mb,cpu_pct
mas,1,1,1,1,3.424,2.143,5.567,765711,15519.8,137544.6,220.9,228.7
mas,1,1,1,2,3.430,2.073,5.503,765711,15700.3,139144.3,222.1,165.7
mas,1,1,1,3,3.389,2.081,5.470,765711,15795.1,139983.7,222.5,169.8
mas,1,1,7,1,16.989,10.606,27.595,3901017,21916.8,141366.8,664.8,173.2
mas,1,1,7,2,16.993,10.616,27.609,3901017,21905.6,141295.1,663.2,173.6
mas,1,1,7,3,17.015,10.580,27.595,3901017,21916.8,141366.8,662.0,173.1
mas,1,1,28,1,92.272,65.541,157.813,21872663,15329.4,138598.6,2693.6,183.6
mas,1,1,28,2,91.337,62.543,153.880,21872663,15721.2,142141.0,3143.7,183.8
mas,1,1,28,3,91.210,65.194,156.404,21872663,15467.5,139847.2,2600.6,184.6
mas,2,1,1,1,3.393,2.079,5.472,765711,15789.3,139932.6,247.3,170.1
mas,2,1,1,2,3.400,2.074,5.474,765711,15783.5,139881.4,246.1,170.1
mas,2,1,1,3,3.381,2.085,5.466,765711,15806.6,140086.2,246.4,172.1
mas,2,1,7,1,9.260,10.548,19.808,3901017,30532.8,196941.5,565.5,338.5
mas,2,1,7,2,9.360,10.568,19.928,3901017,30348.9,195755.6,582.0,337.9
mas,2,1,7,3,9.481,10.766,20.247,3901017,29870.7,192671.4,586.5,336.4
mas,2,1,28,1,53.813,63.770,117.583,21872663,20574.2,186018.9,2223.7,332.8
mas,2,1,28,2,53.105,62.360,115.465,21872663,20951.6,189431.1,2216.4,331.0
mas,2,1,28,3,54.853,63.035,117.888,21872663,20520.9,185537.7,2213.5,331.3
mas,4,1,1,1,3.426,2.067,5.493,765711,15728.9,139397.6,297.9,168.3
mas,4,1,1,2,3.404,2.110,5.514,765711,15669.0,138866.7,295.3,224.5
mas,4,1,1,3,3.375,2.105,5.480,765711,15766.2,139728.3,295.9,170.6
mas,4,1,7,1,7.772,10.774,18.546,3901017,32610.4,210342.8,646.9,473.4
mas,4,1,7,2,7.816,10.842,18.658,3901017,32414.7,209080.1,651.2,468.9
mas,4,1,7,3,7.861,10.817,18.678,3901017,32380.0,208856.2,651.3,469.3
mas,4,1,28,1,36.979,64.093,101.072,21872663,23935.1,216406.7,1743.9,676.5
mas,4,1,28,2,38.716,62.325,101.041,21872663,23942.5,216473.1,1745.5,607.6
mas,4,1,28,3,38.144,63.323,101.467,21872663,23842.0,215564.3,1768.0,651.6
mas,8,1,1,1,3.376,2.125,5.501,765711,15706.1,139194.9,398.5,224.3
mas,8,1,1,2,3.392,2.073,5.465,765711,15809.5,140111.8,399.3,174.9
mas,8,1,1,3,3.448,2.072,5.520,765711,15652.0,138715.8,399.6,166.2
mas,8,1,7,1,5.725,10.984,16.709,3901017,36195.6,233468.0,909.9,727.4
mas,8,1,7,2,5.581,10.646,16.227,3901017,37270.8,240402.8,866.7,707.3
mas,8,1,7,3,5.712,10.608,16.320,3901017,37058.4,239032.9,869.7,683.9
mas,8,1,28,1,31.012,60.952,91.964,21872663,26305.6,237839.4,1676.9,772.1
mas,8,1,28,2,29.317,63.495,92.812,21872663,26065.3,235666.3,1610.7,829.3
mas,8,1,28,3,29.758,62.848,92.606,21872663,26123.3,236190.6,1611.1,825.7
mas,16,1,1,1,3.480,2.107,5.587,765711,15464.3,137052.3,597.1,178.2
mas,16,1,1,2,3.436,2.116,5.552,765711,15561.8,137916.2,605.0,178.1
mas,16,1,1,3,3.472,2.074,5.546,765711,15578.6,138065.5,602.0,178.0
mas,16,1,7,1,5.709,10.561,16.270,3901017,37172.3,239767.5,1055.0,703.0
mas,16,1,7,2,5.742,10.655,16.397,3901017,36884.4,237910.4,1058.0,698.1
mas,16,1,7,3,5.841,10.635,16.476,3901017,36707.5,236769.7,1053.8,701.2
mas,16,1,28,1,28.983,64.038,93.021,21872663,26006.7,235136.8,2173.9,880.8
mas,16,1,28,2,27.072,64.150,91.222,21872663,26519.6,239774.0,2205.3,942.9
mas,16,1,28,3,25.775,60.752,86.527,21872663,27958.6,252784.3,2196.2,938.0
mono-1T,0,1,1,1,3.591,0.000,3.591,765711,24059.9,213230.6,80.4,112.9
mono-1T,0,1,1,2,3.431,0.000,3.431,765711,25181.9,223174.3,79.2,117.3
mono-1T,0,1,1,3,3.408,0.000,3.408,765711,25351.8,224680.5,83.4,113.7
mono-1T,0,1,7,1,18.251,0.000,18.251,3901017,33137.5,213742.6,103.6,112.9
mono-1T,0,1,7,2,18.213,0.000,18.213,3901017,33206.7,214188.6,103.4,117.8
mono-1T,0,1,7,3,18.322,0.000,18.322,3901017,33009.1,212914.4,106.8,117.8
mono-1T,0,1,28,1,101.862,0.000,101.862,21872663,23749.5,214728.4,232.2,118.2
mono-1T,0,1,28,2,100.979,0.000,100.979,21872663,23957.2,216606.1,229.6,115.2
mono-1T,0,1,28,3,100.163,0.000,100.163,21872663,24152.4,218370.7,227.2,117.2
mono-MT,0,2,1,1,3.489,2.324,5.813,765711,14863.1,131723.9,132.9,142.9
mono-MT,0,2,1,2,3.591,2.242,5.832,765711,14814.6,131294.8,133.9,111.1
mono-MT,0,2,1,3,3.475,2.189,5.664,765711,15254.1,135189.1,133.9,107.4
mono-MT,0,2,7,1,10.313,11.386,21.699,3901017,27871.9,179778.7,317.3,163.8
mono-MT,0,2,7,2,10.065,11.341,21.406,3901017,28253.4,182239.4,329.6,158.9
mono-MT,0,2,7,3,10.164,11.366,21.529,3901017,28092.0,181198.2,320.1,160.1
mono-MT,0,2,28,1,55.495,70.550,126.045,21872663,19192.9,173530.6,1527.8,154.5
mono-MT,0,2,28,2,61.599,69.051,130.651,21872663,18516.3,167412.9,1583.8,158.4
mono-MT,0,2,28,3,55.689,71.663,127.352,21872663,18995.9,171749.7,1488.9,200.4
mono-MT,0,4,1,1,3.480,2.215,5.695,765711,15171.0,134453.2,138.8,143.4
mono-MT,0,4,1,2,3.549,2.184,5.733,765711,15070.5,133562.0,146.1,109.7
mono-MT,0,4,1,3,3.467,2.229,5.696,765711,15168.4,134429.6,144.0,109.5
mono-MT,0,4,7,1,7.021,11.568,18.589,3901017,32535.0,209856.2,254.1,243.4
mono-MT,0,4,7,2,7.058,11.592,18.650,3901017,32428.6,209169.8,245.6,241.3
mono-MT,0,4,7,3,7.110,11.677,18.787,3901017,32192.1,207644.5,249.0,241.1
mono-MT,0,4,28,1,37.999,70.938,108.937,21872663,22207.1,200782.7,873.5,265.9
mono-MT,0,4,28,2,37.903,68.194,106.097,21872663,22801.5,206157.2,915.3,253.2
mono-MT,0,4,28,3,37.453,68.508,105.962,21872663,22830.6,206419.9,922.8,267.4
mono-MT,0,8,1,1,3.415,2.172,5.586,765711,15467.1,137076.8,151.9,110.9
mono-MT,0,8,1,2,3.442,2.178,5.620,765711,15373.5,136247.5,149.3,111.0
mono-MT,0,8,1,3,3.442,2.172,5.614,765711,15389.9,136393.1,151.0,110.3
mono-MT,0,8,7,1,6.975,11.502,18.477,3901017,32732.2,211128.3,341.5,273.1
mono-MT,0,8,7,2,6.844,11.808,18.652,3901017,32425.1,209147.4,316.2,276.6
mono-MT,0,8,7,3,7.075,11.889,18.964,3901017,31891.6,205706.4,357.8,302.1
mono-MT,0,8,28,1,30.941,67.829,98.771,21872663,24492.7,221448.2,750.3,278.9
mono-MT,0,8,28,2,31.409,69.949,101.358,21872663,23867.6,215796.1,687.6,278.2
mono-MT,0,8,28,3,31.620,67.810,99.430,21872663,24330.4,219980.5,735.7,290.7
