# platform: Windows-11-10.0.26200-SP0
# processor: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel
# python: 3.14.3
# gpu: NVIDIA GeForce RTX 4070 Laptop GPU, 8188 MiB, 592.82
# nvcc: Build cuda_13.3.r13.3/compiler.38244171_0
arch,mode,n_workers,threads,files,repeat,clean_s,merge_s,total_s,events,rows_per_s,events_per_s,peak_rss_mb,cpu_pct,note
py-naive,clean,0,1,1,1,2.770,0.000,2.770,765711,31191.0,276430.0,0.0,0.0,
py-numpy,clean,0,1,1,1,3.102,0.000,3.102,765711,27852.7,246844.3,0.0,0.0,
cpp-1T,clean,0,1,1,1,1.675,0.000,1.675,765711,51581.5,457140.9,7.4,97.0,
cpp-MT,clean,0,8,1,1,1.675,0.000,1.675,765711,51581.5,457140.9,6.9,97.0,
cuda,clean,0,1,1,1,0.208,0.000,2.133,765711,40505.9,358983.1,406.3,98.9,
mono-1T,clean,0,1,1,1,1.676,0.000,1.676,765711,51550.7,456868.1,10.8,100.7,
mono-1T,e2e,0,1,1,1,9.103,0.000,9.170,765711,9421.9,83501.7,78.1,107.0,
mono-MT,e2e,0,8,1,1,9.470,2.082,11.559,765711,7474.6,66243.7,162.6,121.4,
py-naive,clean,0,1,1,2,2.765,0.000,2.765,765711,31247.4,276929.8,0.0,0.0,
py-numpy,clean,0,1,1,2,3.157,0.000,3.157,765711,27367.4,242543.9,0.0,0.0,
cpp-1T,clean,0,1,1,2,1.712,0.000,1.712,765711,50466.7,447261.1,7.1,99.5,
cpp-MT,clean,0,8,1,2,1.703,0.000,1.703,765711,50733.4,449624.8,6.9,99.1,
cuda,clean,0,1,1,2,0.212,0.000,0.374,765711,231013.4,2047355.6,287.3,96.0,
mono-1T,clean,0,1,1,2,1.658,0.000,1.658,765711,52110.4,461828.1,9.8,100.8,
mono-1T,e2e,0,1,1,2,8.883,0.000,8.936,765711,9668.6,85688.3,78.6,110.9,
mono-MT,e2e,0,8,1,2,9.123,2.029,11.160,765711,7741.8,68612.1,160.0,118.9,
py-naive,clean,0,1,1,3,2.733,0.000,2.733,765711,31613.2,280172.3,0.0,0.0,
py-numpy,clean,0,1,1,3,3.115,0.000,3.115,765711,27736.4,245814.1,0.0,0.0,
cpp-1T,clean,0,1,1,3,1.753,0.000,1.754,765711,49258.3,436551.3,7.1,98.0,
cpp-MT,clean,0,8,1,3,1.668,0.000,1.668,765711,51798.0,459059.4,6.9,99.3,
cuda,clean,0,1,1,3,0.208,0.000,0.370,765711,233510.8,2069489.2,287.3,97.0,
mono-1T,clean,0,1,1,3,1.649,0.000,1.649,765711,52394.8,464348.7,9.8,99.5,
mono-1T,e2e,0,1,1,3,8.910,0.000,8.971,765711,9630.9,85354.0,78.2,109.6,
mono-MT,e2e,0,8,1,3,9.232,2.043,11.284,765711,7656.8,67858.1,160.2,120.3,
py-naive,clean,0,1,7,1,17.969,0.000,17.969,3901017,33657.6,217097.1,0.0,0.0,
py-numpy,clean,0,1,7,1,19.423,0.000,19.423,3901017,31138.0,200845.2,0.0,0.0,
cpp-1T,clean,0,1,7,1,11.208,0.000,11.208,3901017,53960.8,348056.5,7.6,98.3,
cpp-MT,clean,0,8,7,1,1.937,0.000,1.937,3901017,312231.8,2013947.9,12.6,637.3,
cuda,clean,0,1,7,1,1.444,0.000,13.422,3901017,45059.8,290643.5,433.3,97.6,
mono-1T,clean,0,1,7,1,10.999,0.000,10.999,3901017,54986.2,354670.2,10.2,97.7,
mono-1T,e2e,0,1,7,1,47.459,0.000,47.524,3901017,12726.1,82085.2,114.7,106.1,
mono-MT,e2e,0,8,7,1,12.660,10.457,23.150,3901017,26125.0,168510.5,622.2,334.5,
py-naive,clean,0,1,7,2,17.670,0.000,17.670,3901017,34227.1,220770.6,0.0,0.0,
py-numpy,clean,0,1,7,2,19.037,0.000,19.037,3901017,31769.3,204917.6,0.0,0.0,
cpp-1T,clean,0,1,7,2,11.154,0.000,11.154,3901017,54222.1,349741.5,7.6,98.2,
cpp-MT,clean,0,8,7,2,1.936,0.000,1.936,3901017,312393.1,2014988.1,12.5,632.7,
cuda,clean,0,1,7,2,1.214,0.000,1.720,3901017,351623.8,2268033.1,325.1,98.1,
mono-1T,clean,0,1,7,2,10.893,0.000,10.893,3901017,55521.3,358121.5,10.2,97.8,
mono-1T,e2e,0,1,7,2,48.861,0.000,48.929,3901017,12360.6,79728.1,113.4,106.8,
mono-MT,e2e,0,8,7,2,12.457,10.309,22.795,3901017,26531.8,171134.8,617.0,326.7,
py-naive,clean,0,1,7,3,17.727,0.000,17.727,3901017,34117.1,220060.8,0.0,0.0,
py-numpy,clean,0,1,7,3,19.991,0.000,19.991,3901017,30253.3,195138.7,0.0,0.0,
cpp-1T,clean,0,1,7,3,11.253,0.000,11.253,3901017,53745.0,346664.6,7.6,97.1,
cpp-MT,clean,0,8,7,3,1.935,0.000,1.935,3901017,312554.5,2016029.5,12.8,633.9,
cuda,clean,0,1,7,3,1.228,0.000,1.723,3901017,351011.6,2264084.2,325.1,98.8,
mono-1T,clean,0,1,7,3,10.887,0.000,10.887,3901017,55551.9,358318.8,10.2,99.0,
mono-1T,e2e,0,1,7,3,48.773,0.000,48.846,3901017,12381.6,79863.6,116.2,105.0,
mono-MT,e2e,0,8,7,3,12.551,10.581,23.162,3901017,26111.4,168423.1,619.6,322.3,
py-naive,clean,0,1,28,1,76.313,0.000,76.313,21872663,31700.7,286617.8,0.0,0.0,
py-numpy,clean,0,1,28,1,86.989,0.000,86.989,21872663,27810.1,251441.7,0.0,0.0,
cpp-1T,clean,0,1,28,1,46.264,0.000,46.264,21872663,52290.6,472779.3,7.5,97.7,
cpp-MT,clean,0,8,28,1,8.123,0.000,8.123,21872663,297817.6,2692682.9,14.6,706.1,
cuda,clean,0,1,28,1,8.338,0.000,58.862,21872663,41099.0,371592.2,517.0,98.0,
mono-1T,clean,0,1,28,1,45.498,0.000,45.498,21872663,53171.0,480739.0,10.8,98.4,
mono-1T,e2e,0,1,28,1,257.516,0.000,257.615,21872663,9390.6,84904.5,234.4,111.5,
mono-MT,e2e,0,8,28,1,49.742,58.692,108.441,21872663,22308.6,201701.0,3217.5,493.6,
py-naive,clean,0,1,28,2,74.639,0.000,74.639,21872663,32411.6,293046.0,0.0,0.0,
py-numpy,clean,0,1,28,2,85.822,0.000,85.822,21872663,28188.3,254860.8,0.0,0.0,
cpp-1T,clean,0,1,28,2,46.574,0.000,46.574,21872663,51942.5,469632.5,7.5,98.0,
cpp-MT,clean,0,8,28,2,8.210,0.000,8.210,21872663,294661.6,2664149.0,15.1,700.7,
